"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-02-17",,,"0.03",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-02-18",,,"0.11",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-02-19",,,"0.43",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-02-20",,,"0.01",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-02-21",,,"0.41","4.0",
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-02-22",,,"0.24","2.2",
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-02-25",,,"0.23",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-02-26",,,"0.23",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-02-28",,,"0.06",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-03-09",,,"0.26",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-03-14",,,"0.37",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-03-16",,,"0.22",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-03-18",,,"0.05",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-03-22",,,"0.53",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-03-23",,,"0.63",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-03-24",,,"0.37",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-03-25",,,"0.27",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-03-26",,,"0.03",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-03-27",,,"0.04",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-04-02",,,"0.24",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-04-05",,,"0.03",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-04-06",,,"0.45",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-04-07",,,"0.52",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-04-08",,,"1.35",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-04-09",,,"0.09",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-04-11",,,"0.16",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-04-12",,,"0.27",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-04-13",,,"0.24",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-04-15",,,"0.40",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-04-16",,,"0.76",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-04-17",,,"0.06",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-04-29",,,"0.09",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-04-30",,,"0.14",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-05-09",,,"0.10",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-05-10",,,"0.05",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-05-11",,,"0.10",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-06-01",,,"0.02",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-06-09",,,"0.25",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-06-10",,,"0.26",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-06-11",,,"0.20",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-06-28",,,"0.00",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-08-12",,,"0.03",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-08-27",,,"0.02",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-09-10",,,"0.09",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-09-12",,,"0.25",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-09-13",,,"0.38",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-09-14",,,"0.30",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-09-16",,,"0.18",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-09-17",,,"0.26",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-09-22",,,"0.02",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-10-06",,,"0.64",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-10-08",,,"0.28",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-10-24",,,"0.05",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-10-25",,,"0.03",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-10-26",,,"0.43",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-10-27",,,"0.24",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-10-28",,,"1.52",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-10-29",,,"0.14",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-10-30",,,"0.17",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-10-31",,,"0.17",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-11-01",,,"0.04",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-11-02",,,"0.13",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-11-04",,,"0.17",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-11-07",,,"0.07",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-11-14",,,"0.03",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-11-22",,,"0.21",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-11-23",,,"0.71",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-11-24",,,"0.54",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-11-27",,,"0.77",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-11-28",,,"0.05",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-11-29",,,"0.28",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-11-30",,,"0.07",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-12-01",,,"0.60",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-12-02",,,"0.03",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-12-08",,,"0.04",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-12-10",,,"0.62",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-12-12",,,"0.74",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-12-15",,,"0.04",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-12-16",,,"0.18",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-12-17",,,"0.36",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-12-18",,,"1.16",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-12-19",,,"0.15",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-12-21",,,"0.15",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-12-22",,,"0.02",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-12-23",,,"0.74",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-12-24",,,"0.47",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-12-27",,,"0.32",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-12-29",,,"0.25",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2018-12-30",,,"0.59",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-01-03",,,"0.06",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-01-04",,,"0.06",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-01-07",,,"0.30",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-01-08",,,"0.36",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-01-09",,,"0.15",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-01-10",,,"0.32",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-01-11",,,"0.04",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-01-17",,,"0.27",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-01-18",,,"0.06",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-01-19",,,"1.30",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-01-20",,,"0.15",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-01-21",,,"0.32",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-01-22",,,"0.09",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-01-23",,,"0.45",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-01-24",,,"0.02",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-02-02",,,"0.16",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-02-04",,,"0.08",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-02-05",,,"0.21","1.5",
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-02-09",,,"0.44","1.0",
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-02-11",,,"0.34",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-02-12",,,"1.97",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-02-13",,,"1.01",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-02-14",,,"0.11",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-02-15",,,"0.43",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-02-16",,,"0.13",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-02-17",,,"0.05",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-02-19",,,"0.03",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-02-20",,,"0.27",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-02-23",,,"0.34",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-02-24",,,"0.53",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-02-26",,,"0.06",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-03-07",,,"0.21",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-03-08",,,"0.19",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-03-09",,,"0.12",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-03-12",,,"0.79",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-03-13",,,"0.14",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-03-23",,,"0.10",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-03-26",,,"0.37",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-03-28",,,"0.33",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-03-29",,,"0.09",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-04-03",,,"0.15",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-04-05",,,"0.27",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-04-06",,,"0.58",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-04-07",,,"1.08",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-04-08",,,"0.39",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-04-09",,,"0.14",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-04-10",,,"0.05",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-04-11",,,"0.18",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-04-12",,,"0.04",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-04-14",,,"0.28",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-04-15",,,"0.13",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-04-16",,,"0.20",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-04-17",,,"0.09",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-04-20",,,"0.29",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-04-23",,,"0.05",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-04-27",,,"0.01",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-05-15",,,"0.20",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-05-16",,,"0.19",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-05-19",,,"0.91",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-05-21",,,"0.10",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-05-22",,,"0.02",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-05-23",,,"0.18",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-05-25",,,"0.09",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-05-26",,,"0.40",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-06-06",,,"0.00",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-06-07",,,"0.03",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-06-08",,,"0.12",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-06-21",,,"0.13",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-06-25",,,"0.03",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-06-27",,,"0.16",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-06-28",,,"0.16",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-07-02",,,"0.51",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-07-06",,,"0.02",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-07-10",,,"0.24",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-07-15",,,"0.00",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-07-16",,,"0.05",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-08-11",,,"0.35",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-08-22",,,"0.09",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-08-29",,,"0.04",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-09-08",,,"0.19",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-09-09",,,"0.20",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-09-10",,,"0.27",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-09-11",,,"0.25",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-09-16",,,"1.03",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-09-17",,,"0.06",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-09-18",,,"1.58",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-09-23",,,"0.19",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-09-28",,,"0.07",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-09-29",,,"0.34",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-09-30",,,"0.21",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-10-04",,,"0.31",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-10-05",,,"0.05",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-10-08",,,"0.07",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-10-17",,,"0.50",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-10-18",,,"0.54",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-10-19",,,"0.50",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-10-20",,,"0.14",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-10-21",,,"0.03",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-10-22",,,"0.10",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-10-26",,,"0.10",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-11-10",,,"0.27",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-11-13",,,"0.17",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-11-15",,,"0.32",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-11-17",,,"0.01",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-11-18",,,"0.10",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-11-19",,,"0.63",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-11-24",,,"0.08",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-11-26",,,"0.13",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-11-27",,,"0.13",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-12-01",,,"0.07","0.0",
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-12-02",,,"0.18",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-12-07",,,"0.40",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-12-08",,,"0.33",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-12-11",,,"0.57",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-12-12",,,"0.36",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-12-13",,,"0.48",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-12-15",,,"0.02",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-12-19",,,"0.30",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-12-20",,,"0.84",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-12-21",,,"1.15",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-12-22",,,"0.32",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-12-23",,,"0.29",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-12-27",,,"0.04",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2019-12-30",,,"0.09",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-02",,,"0.50",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-04",,,"0.25",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-05",,,"0.17",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-06",,,"0.66",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-07",,,"0.25",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-08",,,"0.31",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-09",,,"0.14",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-10",,,"0.09",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-12",,,"0.44",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-13",,,"0.35",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-14",,,"0.22",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-15",,,"0.01",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-16",,,"0.47",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-17",,,"0.09",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-18",,,"0.68",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-19",,,"0.17",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-21",,,"0.18",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-22",,,"0.31",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-23",,,"0.10",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-24",,,"1.17",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-25",,,"0.23",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-26",,,"0.18",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-27",,,"0.42",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-28",,,"1.30",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-29",,,"0.28",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-30",,,"0.50",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-01-31",,,"0.20",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-02-01",,,"0.19",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-02-02",,,"0.07",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-02-05",,,"0.12",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-02-07",,,"0.02",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-02-08",,,"0.20",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-02-14",,,"0.12",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-02-15",,,"0.12",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-02-16",,,"0.76",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-02-24",,,"0.20",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-02-29",,,"0.27",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-03-01",,,"0.07",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-03-02",,,"0.02",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-03-07",,,"0.55",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-03-08",,,"0.07",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-03-14",,,"0.62",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-03-15",,,"0.14","1.8",
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-03-24",,,"0.20",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-03-25",,,"0.10",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-03-26",,,"0.09",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-03-27",,,"0.02",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-03-28",,,"0.20",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-03-29",,,"0.34",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-03-30",,,"0.42",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-03-31",,,"0.16",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-04-01",,,"0.12",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-04-05",,,"0.16",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-04-19",,,"0.12",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-04-22",,,"0.07",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-04-23",,,"0.21",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-04-26",,,"0.24",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-04-27",,,"0.11",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-04-30",,,"0.03",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-05-02",,,"0.08",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-05-03",,,"0.46",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-05-04",,,"0.40",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-05-05",,,"0.08",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-05-07",,,"0.09",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-05-12",,,"0.14",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-05-13",,,"0.10",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-05-15",,,"0.65",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-05-17",,,"0.18",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-05-18",,,"0.08",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-05-19",,,"0.52",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-05-21",,,"0.08",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-05-22",,,"0.06",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-05-23",,,"0.04",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-05-31",,,"0.31",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-06-06",,,"0.40",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-06-07",,,"0.45",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-06-08",,,"0.23",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-06-09",,,"0.56",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-06-10",,,"0.10",,
"US1ORMT0083","PORTLAND 4.1 NW, OR US","2020-06-13",,,"0.13",,
